"Genotype"	"mean_lesion_D48"	"mean_lesion_D72"	"mean_lesion_D96"	"mean_dSurf_D48"	"mean_dSurf_D72"	"mean_dSurf_D96"
"1"	"An055"	6.47050996862773	20.7053959572917	53.1137619176542	0.0442658834590081	3.96116120624657	19.6045166243097
"2"	"b2b3"	15.2040662286418	77.8296453333437	158.223657650996	-1.49428975162337	10.9666067423292	-16.6370161131863
"3"	"C1-16"	7.85923002485706	41.1442390805009	109.215455750711	2.55440186313452	14.9974529682266	29.5640304174082
"4"	"C71A12"	5.95897410301842	26.2866391184718	63.579994239132	0.417364044042075	11.0370978057264	37.0951716927994
"5"	"C81D8"	7.39576970133118	27.0885705777201	70.6181276534285	0.0306200096107424	-1.24249166171611	10.473707417831
"6"	"C82C2"	8.24422170043308	27.8408030973582	74.7358514245367	-0.210669469849809	3.7633445360967	22.9300889859168
"7"	"col0"	7.24257306164165	31.9558501296204	77.6359515734945	0.219341969466268	4.49626670083519	15.1866308908712
"8"	"fox5"	6.17337431031585	25.4633134922946	63.9405329013966	0.643752419446716	10.3821395274994	22.5996306151147
"9"	"GP1"	8.03176165137429	37.8399677551616	88.1495160371688	-0.00351316535388968	8.01471834914275	22.248524869647
"10"	"Ler"	8.13106239725308	42.4326504540298	97.3428433762342	0.85532527467324	7.0152706292906	26.2151595698012
"11"	"m2829"	7.32514139006077	27.0546172070942	72.8790548735147	-0.334157496186797	0.265323740262295	13.4791279263636
"12"	"m29"	5.90383739652341	23.4503492549597	64.6676103029537	0.422282475537521	3.7582574362269	27.0168872342322
"13"	"m3451"	9.2320926542107	37.2928695215501	88.0966965205903	0.542432730640542	12.4004694432616	31.5225787708445
"14"	"NPR1"	6.94824598520286	28.0837856268646	67.2383792563717	0.335668707001898	8.87583992803623	26.188653754532
"15"	"OE28"	6.37245426226034	24.141365389168	65.2737568958768	0.783716927145674	0.267480843841663	8.25664121471115
"16"	"OE29"	8.46693189665739	35.4791314193104	79.8882707268097	1.42778837998669	10.3757848169548	12.0690333063371
"17"	"pad3"	10.6965756159591	59.5644653234142	144.528191619604	0.351050674227036	11.9645790533046	23.2424942986773
"18"	"pad4"	7.39503741166975	27.8406573471164	75.3384257480192	-0.412528275260839	9.42146710400546	48.9595550345186
"19"	"tga3"	8.51003288844643	35.1642510626063	70.7352176365376	2.31447333514242	9.64728624146129	15.2193836295848
"20"	"tgg12"	6.23516587008312	23.3411190391858	61.7763778741318	1.30677351757559	9.24559971806403	32.9029427697448
